,State,Guessed
0,Alabama,True
1,Alaska,True
2,Arizona,False
3,Arkansas,False
4,California,True
5,Colorado,True
6,Connecticut,False
7,Delaware,True
8,Florida,True
9,Georgia,False
10,Hawaii,True
11,Idaho,False
12,Illinois,True
13,Indiana,True
14,Iowa,False
15,Kansas,False
16,Kentucky,False
17,Louisiana,False
18,Maine,False
19,Maryland,True
20,Massachusetts,False
21,Michigan,False
22,Minnesota,False
23,Mississippi,False
24,Missouri,False
25,Montana,False
26,Nebraska,False
27,Nevada,True
28,New Hampshire,False
29,New Jersey,True
30,New Mexico,True
31,New York,True
32,North Carolina,True
33,North Dakota,False
34,Ohio,True
35,Oklahoma,True
36,Oregon,False
37,Pennsylvania,False
38,Rhode Island,False
39,South Carolina,True
40,South Dakota,False
41,Tennessee,False
42,Texas,True
43,Utah,False
44,Vermont,False
45,Virginia,True
46,Washington,True
47,West Virginia,True
48,Wisconsin,False
49,Wyoming,False
